observation_index,mean_accelerationX,max_accelerationX,min_accelerationX,mean_accelerationY,max_accelerationY,min_accelerationY,mean_accelerationZ,max_accelerationZ,min_accelerationZ,mean_rotationRateX,max_rotationRateX,min_rotationRateX,mean_rotationRateY,max_rotationRateY,min_rotationRateY,mean_rotationRateZ,max_rotationRateZ,min_rotationRateZ,mean_quaternionW,max_quaternionW,min_quaternionW,mean_quaternionX,max_quaternionX,min_quaternionX,mean_quaternionY,max_quaternionY,min_quaternionY,mean_quaternionZ,max_quaternionZ,min_quaternionZ
10,0.2658654049116751,0.2658654049116751,0.2658654049116751,-0.7034534691016526,-0.7034534691016526,-0.7034534691016526,-1.0895313165921676,-1.0895313165921676,-1.0895313165921676,0.22461646698478405,0.22461646698478405,0.22461646698478405,0.42576485913548434,0.42576485913548434,0.42576485913548434,0.15704959797727186,0.15704959797727186,0.15704959797727186,1.1582875614145327,1.1582875614145327,1.1582875614145327,0.7269151579451076,0.7269151579451076,0.7269151579451076,-1.6458033260441984,-1.6458033260441984,-1.6458033260441984,0.5449354090297349,0.5449354090297349,0.5449354090297349
11,0.267367763327348,0.267367763327348,0.267367763327348,-0.702078568863058,-0.702078568863058,-0.702078568863058,-1.0946588217989999,-1.0946588217989999,-1.0946588217989999,0.22820637973708735,0.22820637973708735,0.22820637973708735,0.42701830579367267,0.42701830579367267,0.42701830579367267,0.15657708427589703,0.15657708427589703,0.15657708427589703,1.1584524539549341,1.1584524539549341,1.1584524539549341,0.725716165873109,0.725716165873109,0.725716165873109,-1.645396567098227,-1.645396567098227,-1.645396567098227,0.5447931378367109,0.5447931378367109,0.5447931378367109
12,0.2721328796280738,0.2721328796280738,0.2721328796280738,-0.6990571670447374,-0.6990571670447374,-0.6990571670447374,-1.1046890296178455,-1.1046890296178455,-1.1046890296178455,0.2297590802617056,0.2297590802617056,0.2297590802617056,0.4265749230391777,0.4265749230391777,0.4265749230391777,0.15662157024764145,0.15662157024764145,0.15662157024764145,1.1586416197713463,1.1586416197713463,1.1586416197713463,0.7247838140637313,0.7247838140637313,0.7247838140637313,-1.6447552740839422,-1.6447552740839422,-1.6447552740839422,0.5446735112615266,0.5446735112615266,0.5446735112615266
13,0.279265948257064,0.279265948257064,0.279265948257064,-0.7010916103338746,-0.7010916103338746,-0.7010916103338746,-1.1057835918352579,-1.1057835918352579,-1.1057835918352579,0.22827693037393554,0.22827693037393554,0.22827693037393554,0.4241993906896246,0.4241993906896246,0.4241993906896246,0.15648419037744782,0.15648419037744782,0.15648419037744782,1.1588168606735276,1.1588168606735276,1.1588168606735276,0.7240785096179183,0.7240785096179183,0.7240785096179183,-1.6440999766183617,-1.6440999766183617,-1.6440999766183617,0.5444937207698242,0.5444937207698242,0.5444937207698242
14,0.28406442769337487,0.28406442769337487,0.28406442769337487,-0.7106797557957667,-0.7106797557957667,-0.7106797557957667,-1.1194871404206665,-1.1194871404206665,-1.1194871404206665,0.2224767460577172,0.2224767460577172,0.2224767460577172,0.4228260268641656,0.4228260268641656,0.4228260268641656,0.15668011905160995,0.15668011905160995,0.15668011905160995,1.1589826784911799,1.1589826784911799,1.1589826784911799,0.7231988324956907,0.7231988324956907,0.7231988324956907,-1.6435584243787666,-1.6435584243787666,-1.6435584243787666,0.5442704863523904,0.5442704863523904,0.5442704863523904
15,0.2816468670325528,0.2816468670325528,0.2816468670325528,-0.7064866142468875,-0.7064866142468875,-0.7064866142468875,-1.122573036760593,-1.122573036760593,-1.122573036760593,0.21908338716880144,0.21908338716880144,0.21908338716880144,0.41888548478167487,0.41888548478167487,0.41888548478167487,0.15768126196566865,0.15768126196566865,0.15768126196566865,1.159189373735948,1.159189373735948,1.159189373735948,0.7219587647096031,0.7219587647096031,0.7219587647096031,-1.642935411654416,-1.642935411654416,-1.642935411654416,0.5439957635798651,0.5439957635798651,0.5439957635798651
16,0.27690918240751167,0.27690918240751167,0.27690918240751167,-0.6832051733894142,-0.6832051733894142,-0.6832051733894142,-1.1138968705050165,-1.1138968705050165,-1.1138968705050165,0.21846159039286028,0.21846159039286028,0.21846159039286028,0.4218939203931103,0.4218939203931103,0.4218939203931103,0.15814687994158622,0.15814687994158622,0.15814687994158622,1.1594462347679275,1.1594462347679275,1.1594462347679275,0.7206334871893316,0.7206334871893316,0.7206334871893316,-1.642074481622426,-1.642074481622426,-1.642074481622426,0.5437254807713403,0.5437254807713403,0.5437254807713403
17,0.2731914913631199,0.2731914913631199,0.2731914913631199,-0.6635332935928376,-0.6635332935928376,-0.6635332935928376,-1.1094128679676039,-1.1094128679676039,-1.1094128679676039,0.21596112764822661,0.21596112764822661,0.21596112764822661,0.422867527691965,0.422867527691965,0.422867527691965,0.15596110531483054,0.15596110531483054,0.15596110531483054,1.159730124571907,1.159730124571907,1.159730124571907,0.7192703399632554,0.7192703399632554,0.7192703399632554,-1.641082339491631,-1.641082339491631,-1.641082339491631,0.5433827199584154,0.5433827199584154,0.5433827199584154
18,0.26805287082024437,0.26805287082024437,0.26805287082024437,-0.6523973504997,-0.6523973504997,-0.6523973504997,-1.1018715738951714,-1.1018715738951714,-1.1018715738951714,0.21273882966889227,0.21273882966889227,0.21273882966889227,0.42392739704370086,0.42392739704370086,0.42392739704370086,0.15717081961642967,0.15717081961642967,0.15717081961642967,1.1600300008281679,1.1600300008281679,1.1600300008281679,0.7177493511314844,0.7177493511314844,0.7177493511314844,-1.6400565773198295,-1.6400565773198295,-1.6400565773198295,0.5429863850491875,0.5429863850491875,0.5429863850491875
19,0.2728824572621558,0.2728824572621558,0.2728824572621558,-0.642879881674628,-0.642879881674628,-0.642879881674628,-1.0952664963503511,-1.0952664963503511,-1.0952664963503511,0.21399270122167063,0.21399270122167063,0.21399270122167063,0.4257431781508047,0.4257431781508047,0.4257431781508047,0.15504548686232908,0.15504548686232908,0.15504548686232908,1.1603572642742643,1.1603572642742643,1.1603572642742643,0.7161071190017777,0.7161071190017777,0.7161071190017777,-1.638926838125799,-1.638926838125799,-1.638926838125799,0.5425501145070823,0.5425501145070823,0.5425501145070823
