"time","seconds_elapsed","rotationRateX","rotationRateY","rotationRateZ","gravityX","gravityY","gravityZ","accelerationX","accelerationY","accelerationZ","quaternionW","quaternionX","quaternionY","quaternionZ","label"
"1.71E+18","0.608387451","-3.103745222","-0.208503529","-2.319088459","-0.502728045","0.143118709","-0.852514863","-0.226336956","-0.101950482","0.289114594","0.94085926","-0.127664635","-0.239675438","-0.202586882","D"
"1.71E+18","0.618407471","-3.319824696","-0.228400871","-2.347941637","-0.508079946","0.158690214","-0.846564949","-0.232307136","-0.102476835","0.297767401","0.936009791","-0.140196374","-0.238877567","-0.217182678","D"
"1.71E+18","0.628427246","-3.602927208","-0.301817805","-2.426542282","-0.514340162","0.175623372","-0.839410961","-0.24898088","-0.060327962","0.302164257","0.930450683","-0.153796208","-0.23799423","-0.232308562","D"
"1.71E+18","0.638447266","-3.816978693","-0.321965307","-2.451495171","-0.521474838","0.194081381","-0.830901027","-0.201501906","0.006815821","0.308501184","0.92413856","-0.168547635","-0.2369413","-0.247827958","D"
"1.71E+18","0.648467285","-3.870815754","-0.392514318","-2.472025394","-0.529435098","0.21298787","-0.821178854","-0.170149922","0.067468703","0.330013752","0.917164225","-0.183846827","-0.235819655","-0.263437757","D"
"1.71E+18","0.658487061","-3.822036266","-0.473950416","-2.433002949","-0.538533032","0.2313198","-0.810230374","-0.188075244","0.109393701","0.343021631","0.909604424","-0.199177907","-0.234974386","-0.278809986","D"
"1.71E+18","0.668507324","-3.787009716","-0.520103514","-2.400062323","-0.548361719","0.248766169","-0.79838264","-0.221902013","0.13021636","0.348996103","0.901629136","-0.214273324","-0.234298166","-0.293694079","D"
"1.71E+18","0.678527344","-3.902285576","-0.501401365","-2.428107262","-0.558634818","0.26583153","-0.785659492","-0.243016243","0.175666243","0.364211798","0.893133536","-0.229458507","-0.23349317","-0.308451515","D"
"1.71E+18","0.688547119","-3.984459639","-0.515794933","-2.45493412","-0.569327593","0.282863826","-0.771915913","-0.219780684","0.267627478","0.403126299","0.883962391","-0.245014284","-0.232400626","-0.323370489","D"
"1.71E+18","0.698567383","-3.825017929","-0.555009842","-2.348313093","-0.580439448","0.298979878","-0.757430553","-0.191960514","0.31910792","0.386962473","0.874396699","-0.260340954","-0.231316445","-0.337854626","D"
"1.71E+18","5.267681641","-6.13645649","-2.25646472","-4.721610546","0.375267327","0.431122661","-0.820553303","-0.157890558","0.480773121","0.361568928","0.494640109","0.051034214","0.295159048","-0.815847931","D"
"1.71E+18","5.277701416","-6.207329273","-2.355725288","-4.616811752","0.334780991","0.497927159","-0.799993992","-0.122164965","0.388608545","0.257345676","0.480134379","0.019360806","0.315639312","-0.818210382","D"
