accelerationX,rotationRateZ,rotationRateY,quaternionW,label
-0.114633679,-3.995800257,-0.053237412,0.879665044,D
-0.183163553,-3.969805241,0.068030216,0.866658105,D
-0.220644981,-4.048695087,-0.037592884,0.853612131,D
-0.196283653,-4.179800987,-0.121220291,0.840161588,D
-0.177215084,-4.113303185,-0.05754891,0.825668615,D
-0.201447919,-4.047899723,0.126312584,0.809257159,D
-0.249824345,-4.006989479,0.360837728,0.790685927,D
-0.313273013,-4.09543705,0.401110291,0.77093001,D
-0.340746015,-4.206612587,0.357309014,0.75090919,D
-0.334908575,-4.15019989,0.320265353,0.731569826,D
-0.274923474,-4.143651009,0.343612999,0.71267995,D
-0.255549371,-4.105619907,0.476884812,0.693584116,D
-0.302057683,-4.045726299,0.747820199,0.673172816,D
-0.419318318,-4.056814194,1.023959398,0.650599405,D
-0.501253963,-4.011282921,1.253220558,0.626571668,D
-0.452780426,-3.956409931,1.414295912,0.602276739,D
-0.340155721,-3.848675251,1.338352203,0.580098483,D
-0.267317861,-3.616300106,1.246872544,0.56075941,D
-0.282262355,-3.401016474,1.442737699,0.541565083,D
-0.385052204,-3.200917959,1.78807354,0.519998985,D
-0.472101212,-3.036427021,2.080619097,0.49557891,D
-0.452943295,-3.004683971,2.2218225,0.469621257,D
-0.41261965,-2.846203566,2.27595067,0.444589101,D
-0.343063205,-2.680351257,2.124449253,0.422083885,D
-0.240243256,-2.495223522,2.007963657,0.401852194,D
-0.155208588,-2.366129637,1.966063619,0.382642588,D
-0.132741094,-2.264609814,1.976065159,0.363646758,D
-0.176008582,-2.173984528,2.115325928,0.343907372,D
-0.241397917,-2.167520761,2.295335054,0.322666885,D
-0.262195766,-2.15559268,2.341179848,0.300775684,D
-0.239668071,-3.401744366,-2.953580141,-0.051208386,D
-0.220171124,-3.338778257,-3.102794647,-0.057741782,D
-0.187266514,-3.307161808,-3.220315218,-0.06371558,D
-0.130663812,-3.298088312,-3.314148188,-0.069206038,D
-0.104199082,-3.322524548,-3.406473637,-0.074365401,D
-0.108164303,-3.406755924,-3.495434999,-0.079425256,D
-0.100540534,-3.5957582,-3.612540722,-0.08478345,D
-0.118478268,-3.813924313,-3.727610111,-0.090707182,D
-0.175003603,-4.097471714,-3.803019047,-0.097289471,D
-0.236293137,-4.444747925,-3.798149586,-0.104981897,D
-0.216552198,-1.117483616,-0.496344984,0.00847605,D
-0.245155454,-1.356786728,-0.577770054,0.004336715,D
-0.249149114,-1.597592115,-0.658093154,-0.000386922,D
-0.231517136,-1.860239983,-0.723231494,-0.005697277,D
-0.234874159,-2.106578827,-0.788075209,-0.011702115,D
-0.270234674,-2.325837135,-0.845658839,-0.018258719,D
-0.296705693,-2.548143625,-0.882393181,-0.025292202,D
-0.328353286,-2.729739666,-0.94771415,-0.032722699,D
-0.327902794,-2.87646389,-0.994538605,-0.040514205,D
-0.307217181,-3.008588076,-1.052047372,-0.048454802,D
-0.323793232,-3.117801905,-1.137998819,-0.056537688,D
-0.361236095,-3.171964169,-1.237961173,-0.064669827,D
-0.343481481,-3.235819101,-1.37043798,-0.072744981,D
-0.283886433,-3.270392895,-1.522932172,-0.080788256,D
-0.274662435,-3.281260014,-1.688961864,-0.088575527,D
-0.287387788,-3.306419134,-1.876534581,-0.096027359,D
-0.284235656,-3.323427439,-2.09653616,-0.103228134,D
-0.308564603,-3.366799593,-2.291217089,-0.110198488,D
-0.355540335,-3.400966883,-2.503628492,-0.117122147,D
-0.382733464,-3.386157036,-2.703147173,-0.123809159,D
-0.34482199,-3.333182096,-2.893482447,-0.129984419,D
-0.26793766,-3.290106058,-3.044148207,-0.135508922,D
-0.208438933,-3.239709377,-3.180410147,-0.14041149,D
-0.165134132,-3.194853783,-3.360093117,-0.144644789,D
-0.109011739,-3.213173866,-3.554023266,-0.148235436,D
-0.071156278,-3.351300716,-3.698043108,-0.15168937,D
-0.095511243,-3.470818281,-3.78010726,-0.155260677,D
-0.122752085,-3.655692816,-3.86555171,-0.159146061,D
-0.161082476,-3.819728613,-3.867600441,-0.163507132,D
-0.203494176,-4.024684906,-3.778313875,-0.168415162,D
-0.210559234,-4.254386425,-3.761466265,-0.174216456,D
-0.209429651,-4.415328026,-3.665530205,-0.180815262,D
-0.251030445,-4.573194981,-3.459476709,-0.18820434,D
-0.285905838,-4.77811718,-3.276007891,-0.196464883,D
-0.26621443,-5.080105782,-3.146233082,-0.205854001,D
-0.289264977,-5.404444695,-3.188531637,-0.21617838,D
-0.33953464,-5.597194672,-3.185299397,-0.2267545,D
-0.43237862,-5.905566216,-3.095579147,-0.237874912,D
-0.537014365,-6.084870815,-3.180304289,-0.249336622,D
-0.528382778,-6.185171604,-3.206970453,-0.260366487,D
-0.547416508,-6.286396503,-3.121245623,-0.271008935,D
